booking_id,employee_id,booking_date,requested_start_datetime,allocated_start_datetime,requested_end_datetime,allocated_end_datetime,requested_duration_minutes,max_time_flexibility_minutes,requested_room_type,allocated_room_id,allocated_room_type,requested_floor,allocated_floor,requested_capacity,room_capacity,time_relaxation_minutes,allocation_rule,booking_status
RB03329,E0243,2025-01-01,2025-01-01 08:15:00,2025-01-01 08:15:00,2025-01-01 09:15:00,2025-01-01 09:15:00,60,15,Focus,R006,Focus,4,1.0,12,16.0,0.0,exact_type_any_floor,Allocated
RB07385,E0263,2025-01-01,2025-01-01 08:15:00,2025-01-01 08:15:00,2025-01-01 10:15:00,2025-01-01 10:15:00,120,60,Training,R040,Training,5,4.0,16,16.0,0.0,exact_type_nearby_floor,Allocated
RB07900,E0751,2025-01-01,2025-01-01 08:15:00,2025-01-01 08:15:00,2025-01-01 09:30:00,2025-01-01 09:30:00,75,0,Meeting,R005,Training,4,1.0,16,16.0,0.0,similar_type_any_floor,Allocated
RB08515,E0899,2025-01-01,2025-01-01 08:15:00,2025-01-01 08:15:00,2025-01-01 09:15:00,2025-01-01 09:15:00,60,30,Conference,R001,Conference,1,1.0,2,8.0,0.0,exact_type_exact_floor,Allocated
RB15114,E0232,2025-01-01,2025-01-01 08:15:00,2025-01-01 08:15:00,2025-01-01 09:45:00,2025-01-01 09:45:00,90,30,Conference,R007,Conference,1,1.0,4,8.0,0.0,exact_type_exact_floor,Allocated
RB21757,E0916,2025-01-01,2025-01-01 08:15:00,2025-01-01 08:15:00,2025-01-01 09:30:00,2025-01-01 09:30:00,75,30,Conference,R045,Conference,5,5.0,4,8.0,0.0,exact_type_exact_floor,Allocated
RB26708,E0844,2025-01-01,2025-01-01 08:15:00,2025-01-01 08:15:00,2025-01-01 09:15:00,2025-01-01 09:15:00,60,30,Meeting,R025,Meeting,5,3.0,6,8.0,0.0,exact_type_any_floor,Allocated
RB35278,E0077,2025-01-01,2025-01-01 08:15:00,2025-01-01 08:15:00,2025-01-01 08:45:00,2025-01-01 08:45:00,30,30,Focus,R047,Focus,5,5.0,4,4.0,0.0,exact_type_exact_floor,Allocated
RB36183,E0055,2025-01-01,2025-01-01 08:15:00,2025-01-01 08:15:00,2025-01-01 09:15:00,2025-01-01 09:15:00,60,30,Conference,R023,Conference,3,3.0,6,8.0,0.0,exact_type_exact_floor,Allocated
RB36237,E0389,2025-01-01,2025-01-01 08:15:00,2025-01-01 08:15:00,2025-01-01 09:00:00,2025-01-01 09:00:00,45,60,Training,R046,Training,4,5.0,8,8.0,0.0,exact_type_nearby_floor,Allocated
RB00489,E0175,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:30:00,2025-01-01 09:45:00,2025-01-01 09:45:00,75,15,Meeting,R004,Meeting,3,1.0,8,8.0,0.0,exact_type_any_floor,Allocated
RB01757,E0535,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:30:00,2025-01-01 09:00:00,2025-01-01 09:00:00,30,30,Meeting,R015,Conference,4,2.0,6,8.0,0.0,similar_type_any_floor,Allocated
RB10024,E0114,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:30:00,2025-01-01 09:30:00,2025-01-01 09:30:00,60,15,Conference,R031,Conference,4,4.0,4,4.0,0.0,exact_type_exact_floor,Allocated
RB13833,E0305,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:30:00,2025-01-01 09:45:00,2025-01-01 09:45:00,75,15,Meeting,R044,Meeting,5,5.0,2,4.0,0.0,exact_type_exact_floor,Allocated
RB13934,E0251,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:30:00,2025-01-01 10:30:00,2025-01-01 10:30:00,120,30,Training,R021,Training,2,3.0,2,4.0,0.0,exact_type_nearby_floor,Allocated
RB14809,E0909,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:30:00,2025-01-01 09:00:00,2025-01-01 09:00:00,30,60,Meeting,R039,Meeting,5,4.0,2,4.0,0.0,exact_type_nearby_floor,Allocated
RB14860,E0973,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:30:00,2025-01-01 09:00:00,2025-01-01 09:00:00,30,15,Focus,R027,Focus,3,3.0,8,8.0,0.0,exact_type_exact_floor,Allocated
RB19324,E0326,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:30:00,2025-01-01 09:30:00,2025-01-01 09:30:00,60,30,Training,R049,Training,3,5.0,8,8.0,0.0,exact_type_any_floor,Allocated
RB19384,E0305,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:30:00,2025-01-01 10:00:00,2025-01-01 10:00:00,90,0,Meeting,R030,Meeting,5,3.0,4,4.0,0.0,exact_type_any_floor,Allocated
RB19387,E0095,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:30:00,2025-01-01 09:45:00,2025-01-01 09:45:00,75,60,Meeting,R010,Conference,1,1.0,6,8.0,0.0,similar_type_exact_floor,Allocated
RB19460,E0904,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:30:00,2025-01-01 09:45:00,2025-01-01 09:45:00,75,15,Meeting,R026,Training,3,3.0,4,4.0,0.0,similar_type_exact_floor,Allocated
RB28901,E0932,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:30:00,2025-01-01 10:00:00,2025-01-01 10:00:00,90,0,Training,R011,Focus,3,2.0,8,8.0,0.0,similar_type_any_floor,Allocated
RB29326,E0500,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:30:00,2025-01-01 09:30:00,2025-01-01 09:30:00,60,120,Conference,R050,Focus,5,5.0,8,8.0,0.0,similar_type_exact_floor,Allocated
RB38004,E0678,2025-01-01,2025-01-01 08:30:00,2025-01-01 08:30:00,2025-01-01 09:45:00,2025-01-01 09:45:00,75,15,Conference,R012,Conference,3,2.0,2,4.0,0.0,exact_type_nearby_floor,Allocated
RB00955,E0496,2025-01-01,2025-01-01 08:45:00,2025-01-01 08:45:00,2025-01-01 09:15:00,2025-01-01 09:15:00,30,60,Meeting,R002,Focus,1,1.0,8,8.0,0.0,similar_type_exact_floor,Allocated
RB05922,E0469,2025-01-01,2025-01-01 08:45:00,2025-01-01 08:45:00,2025-01-01 09:45:00,2025-01-01 09:45:00,60,0,Meeting,R017,Focus,3,2.0,6,8.0,0.0,similar_type_any_floor,Allocated
RB16401,E0001,2025-01-01,2025-01-01 08:45:00,2025-01-01 08:45:00,2025-01-01 09:15:00,2025-01-01 09:15:00,30,60,Meeting,R013,Conference,2,2.0,2,4.0,0.0,similar_type_exact_floor,Allocated
RB33941,E0309,2025-01-01,2025-01-01 08:45:00,2025-01-01 08:45:00,2025-01-01 09:45:00,2025-01-01 09:45:00,60,120,Focus,R009,Focus,1,1.0,4,8.0,0.0,exact_type_exact_floor,Allocated
RB04124,E0061,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:00:00,2025-01-01 09:45:00,2025-01-01 09:45:00,45,60,Training,R029,Training,2,3.0,2,4.0,0.0,exact_type_nearby_floor,Allocated
RB04932,E0580,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:00:00,2025-01-01 09:45:00,2025-01-01 09:45:00,45,120,Training,R046,Training,1,5.0,8,8.0,0.0,exact_type_any_floor,Allocated
RB07521,E0676,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:00:00,2025-01-01 10:15:00,2025-01-01 10:15:00,75,30,Focus,R043,Focus,5,5.0,8,8.0,0.0,exact_type_exact_floor,Allocated
RB09581,E0698,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:00:00,2025-01-01 09:15:00,2025-01-01 10:00:00,60,60,Conference,R041,Focus,1,5.0,16,16.0,45.0,similar_type_any_floor,Allocated
RB09982,E0401,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:00:00,2025-01-01 10:30:00,2025-01-01 10:30:00,90,0,Conference,R014,Conference,3,2.0,4,4.0,0.0,exact_type_nearby_floor,Allocated
RB12613,E0965,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:00:00,2025-01-01 10:00:00,2025-01-01 10:00:00,60,60,Meeting,R038,Meeting,1,4.0,4,8.0,0.0,exact_type_any_floor,Allocated
RB16657,E0170,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:00:00,2025-01-01 10:45:00,2025-01-01 10:45:00,105,30,Meeting,R015,Conference,2,2.0,8,8.0,0.0,similar_type_exact_floor,Allocated
RB18705,E0891,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:00:00,2025-01-01 10:30:00,2025-01-01 10:30:00,90,15,Training,R033,Training,1,4.0,2,4.0,0.0,exact_type_any_floor,Allocated
RB23091,E0905,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:00:00,2025-01-01 10:00:00,2025-01-01 10:00:00,60,30,Training,R027,Focus,4,3.0,6,8.0,0.0,similar_type_any_floor,Allocated
RB25487,E0540,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:00:00,2025-01-01 10:30:00,2025-01-01 10:30:00,90,15,Focus,R032,Focus,4,4.0,4,4.0,0.0,exact_type_exact_floor,Allocated
RB27218,E0340,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:00:00,2025-01-01 10:00:00,2025-01-01 10:00:00,60,30,Training,R020,Focus,2,2.0,6,8.0,0.0,similar_type_exact_floor,Allocated
RB28195,E0865,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:00:00,2025-01-01 10:00:00,2025-01-01 10:00:00,60,15,Meeting,R039,Meeting,5,4.0,2,4.0,0.0,exact_type_nearby_floor,Allocated
RB32179,E0431,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:00:00,2025-01-01 09:30:00,2025-01-01 09:30:00,30,60,Conference,R035,Training,4,4.0,2,4.0,0.0,similar_type_exact_floor,Allocated
RB01089,E0371,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:15:00,2025-01-01 10:45:00,2025-01-01 10:45:00,90,0,Conference,R023,Conference,3,3.0,4,8.0,0.0,exact_type_exact_floor,Allocated
RB04201,E0352,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:15:00,2025-01-01 10:00:00,2025-01-01 10:00:00,45,30,Meeting,R024,Meeting,1,3.0,6,8.0,0.0,exact_type_any_floor,Allocated
RB06193,E0279,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:15:00,2025-01-01 09:45:00,2025-01-01 09:45:00,30,0,Meeting,R025,Meeting,5,3.0,8,8.0,0.0,exact_type_any_floor,Allocated
RB07225,E0628,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:15:00,2025-01-01 10:15:00,2025-01-01 10:15:00,60,0,Meeting,R001,Conference,3,1.0,6,8.0,0.0,similar_type_any_floor,Allocated
RB10433,E0110,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:15:00,2025-01-01 10:30:00,2025-01-01 10:45:00,90,120,Conference,R006,Focus,4,1.0,10,16.0,15.0,similar_type_any_floor,Allocated
RB10595,E0931,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:15:00,2025-01-01 10:45:00,2025-01-01 10:45:00,90,120,Meeting,R002,Focus,4,1.0,6,8.0,0.0,similar_type_any_floor,Allocated
RB12226,E0385,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:15:00,2025-01-01 09:45:00,2025-01-01 09:45:00,30,30,Conference,R013,Conference,3,2.0,4,4.0,0.0,exact_type_nearby_floor,Allocated
RB20812,E0968,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:15:00,2025-01-01 10:30:00,2025-01-01 10:30:00,75,15,Meeting,R042,Conference,5,5.0,4,4.0,0.0,similar_type_exact_floor,Allocated
RB20984,E0431,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:15:00,2025-01-01 10:00:00,2025-01-01 10:00:00,45,60,Conference,R047,Focus,5,5.0,2,4.0,0.0,similar_type_exact_floor,Allocated
RB21679,E0754,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:15:00,2025-01-01 10:15:00,2025-01-01 10:15:00,60,0,Focus,R022,Focus,4,3.0,4,4.0,0.0,exact_type_nearby_floor,Allocated
RB25463,E0311,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:15:00,2025-01-01 10:15:00,2025-01-01 10:15:00,60,30,Conference,R016,Focus,2,2.0,4,4.0,0.0,similar_type_exact_floor,Allocated
RB25534,E0212,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:15:00,2025-01-01 10:45:00,2025-01-01 10:45:00,90,30,Meeting,R048,Focus,5,5.0,2,4.0,0.0,similar_type_exact_floor,Allocated
RB27925,E0111,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:15:00,2025-01-01 09:45:00,2025-01-01 10:45:00,90,60,Conference,R034,Conference,2,4.0,16,16.0,60.0,exact_type_any_floor,Allocated
RB28978,E0908,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:15:00,2025-01-01 10:15:00,2025-01-01 10:15:00,60,0,Meeting,R019,Focus,2,2.0,4,4.0,0.0,similar_type_exact_floor,Allocated
RB30341,E0153,2025-01-01,2025-01-01 08:15:00,2025-01-01 09:15:00,2025-01-01 09:45:00,2025-01-01 10:45:00,90,120,Conference,R008,Meeting,2,1.0,10,16.0,60.0,similar_type_any_floor,Allocated
RB31216,E0082,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:15:00,2025-01-01 10:15:00,2025-01-01 10:15:00,60,120,Training,R036,Training,4,4.0,4,4.0,0.0,exact_type_exact_floor,Allocated
RB31888,E0969,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:15:00,2025-01-01 09:45:00,2025-01-01 09:45:00,30,60,Focus,R028,Focus,2,3.0,2,4.0,0.0,exact_type_nearby_floor,Allocated
RB39112,E0754,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:15:00,2025-01-01 10:00:00,2025-01-01 10:00:00,45,120,Meeting,R037,Training,4,4.0,4,4.0,0.0,similar_type_exact_floor,Allocated
RB04549,E0077,2025-01-01,2025-01-01 09:30:00,2025-01-01 09:30:00,2025-01-01 10:30:00,2025-01-01 10:30:00,60,0,Focus,R031,Conference,4,4.0,4,4.0,0.0,similar_type_exact_floor,Allocated
RB12019,E0368,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:30:00,2025-01-01 10:00:00,2025-01-01 10:15:00,45,120,Conference,R045,Conference,3,5.0,8,8.0,15.0,exact_type_any_floor,Allocated
RB15139,E0756,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:30:00,2025-01-01 10:30:00,2025-01-01 10:45:00,75,60,Focus,R050,Focus,3,5.0,8,8.0,15.0,exact_type_any_floor,Allocated
RB17213,E0996,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:30:00,2025-01-01 10:15:00,2025-01-01 10:30:00,60,15,Meeting,R003,Meeting,2,1.0,6,8.0,15.0,exact_type_nearby_floor,Allocated
RB18600,E0678,2025-01-01,2025-01-01 09:30:00,2025-01-01 09:30:00,2025-01-01 11:15:00,2025-01-01 11:15:00,105,0,Conference,R035,Training,3,4.0,2,4.0,0.0,similar_type_any_floor,Allocated
RB23545,E0533,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:30:00,2025-01-01 10:30:00,2025-01-01 10:45:00,75,15,Focus,R049,Training,5,5.0,6,8.0,15.0,similar_type_exact_floor,Allocated
RB35213,E0361,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:30:00,2025-01-01 10:30:00,2025-01-01 11:00:00,90,120,Training,R005,Training,3,1.0,12,16.0,30.0,exact_type_any_floor,Allocated
RB00764,E0694,2025-01-01,2025-01-01 09:30:00,2025-01-01 09:45:00,2025-01-01 10:45:00,2025-01-01 11:00:00,75,15,Conference,R007,Conference,1,1.0,6,8.0,15.0,exact_type_exact_floor,Allocated
RB03097,E0839,2025-01-01,2025-01-01 09:45:00,2025-01-01 09:45:00,2025-01-01 10:45:00,2025-01-01 10:45:00,60,60,Meeting,R009,Focus,5,1.0,6,8.0,0.0,similar_type_any_floor,Allocated
RB03711,E0604,2025-01-01,2025-01-01 09:45:00,2025-01-01 09:45:00,2025-01-01 11:00:00,2025-01-01 11:00:00,75,60,Conference,R013,Conference,1,2.0,4,4.0,0.0,exact_type_nearby_floor,Allocated
RB04473,E0395,2025-01-01,2025-01-01 09:45:00,2025-01-01 09:45:00,2025-01-01 10:15:00,2025-01-01 10:15:00,30,60,Meeting,R026,Training,2,3.0,4,4.0,0.0,similar_type_any_floor,Allocated
RB11320,E0300,2025-01-01,2025-01-01 09:45:00,2025-01-01 09:45:00,2025-01-01 11:00:00,2025-01-01 11:00:00,75,30,Conference,R029,Training,4,3.0,2,4.0,0.0,similar_type_any_floor,Allocated
RB13419,E0526,2025-01-01,2025-01-01 09:30:00,2025-01-01 09:45:00,2025-01-01 10:45:00,2025-01-01 11:00:00,75,15,Meeting,R004,Meeting,1,1.0,6,8.0,15.0,exact_type_exact_floor,Allocated
RB24156,E0494,2025-01-01,2025-01-01 09:45:00,2025-01-01 09:45:00,2025-01-01 11:00:00,2025-01-01 11:00:00,75,15,Conference,R028,Focus,1,3.0,4,4.0,0.0,similar_type_any_floor,Allocated
RB27752,E0030,2025-01-01,2025-01-01 09:30:00,2025-01-01 09:45:00,2025-01-01 10:30:00,2025-01-01 10:45:00,60,60,Meeting,R044,Meeting,5,5.0,2,4.0,15.0,exact_type_exact_floor,Allocated
RB28421,E0389,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:45:00,2025-01-01 10:00:00,2025-01-01 10:30:00,45,60,Training,R046,Training,4,5.0,6,8.0,30.0,exact_type_nearby_floor,Allocated
RB30664,E0170,2025-01-01,2025-01-01 09:30:00,2025-01-01 09:45:00,2025-01-01 10:00:00,2025-01-01 10:15:00,30,120,Meeting,R017,Focus,2,2.0,6,8.0,15.0,similar_type_exact_floor,Allocated
RB31348,E0344,2025-01-01,2025-01-01 09:30:00,2025-01-01 09:45:00,2025-01-01 10:45:00,2025-01-01 11:00:00,75,120,Meeting,R012,Conference,4,2.0,4,4.0,15.0,similar_type_any_floor,Allocated
RB35729,E0758,2025-01-01,2025-01-01 09:30:00,2025-01-01 09:45:00,2025-01-01 10:15:00,2025-01-01 10:30:00,45,120,Conference,R010,Conference,2,1.0,6,8.0,15.0,exact_type_nearby_floor,Allocated
RB37207,E0479,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:45:00,2025-01-01 10:15:00,2025-01-01 10:45:00,60,120,Meeting,R025,Meeting,5,3.0,8,8.0,30.0,exact_type_any_floor,Allocated
RB39285,E0856,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:45:00,2025-01-01 09:30:00,2025-01-01 10:15:00,30,120,Meeting,R018,Training,4,2.0,12,16.0,45.0,similar_type_any_floor,Allocated
RB05936,E0039,2025-01-01,2025-01-01 10:00:00,2025-01-01 10:00:00,2025-01-01 11:30:00,2025-01-01 11:30:00,90,30,Meeting,R024,Meeting,1,3.0,8,8.0,0.0,exact_type_any_floor,Allocated
RB07956,E0957,2025-01-01,2025-01-01 10:00:00,2025-01-01 10:00:00,2025-01-01 11:15:00,2025-01-01 11:15:00,75,0,Conference,R047,Focus,5,5.0,2,4.0,0.0,similar_type_exact_floor,Allocated
RB08798,E0551,2025-01-01,2025-01-01 10:00:00,2025-01-01 10:00:00,2025-01-01 10:45:00,2025-01-01 10:45:00,45,120,Meeting,R038,Meeting,4,4.0,6,8.0,0.0,exact_type_exact_floor,Allocated
RB11400,E0869,2025-01-01,2025-01-01 10:00:00,2025-01-01 10:00:00,2025-01-01 10:45:00,2025-01-01 10:45:00,45,60,Conference,R020,Focus,4,2.0,6,8.0,0.0,similar_type_any_floor,Allocated
RB14281,E0713,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:00:00,2025-01-01 10:30:00,2025-01-01 11:15:00,75,60,Meeting,R041,Focus,1,5.0,16,16.0,45.0,similar_type_any_floor,Allocated
RB18868,E0028,2025-01-01,2025-01-01 10:00:00,2025-01-01 10:00:00,2025-01-01 11:15:00,2025-01-01 11:15:00,75,15,Meeting,R030,Meeting,2,3.0,2,4.0,0.0,exact_type_nearby_floor,Allocated
RB25789,E0411,2025-01-01,2025-01-01 10:00:00,2025-01-01 10:00:00,2025-01-01 11:00:00,2025-01-01 11:00:00,60,30,Meeting,R039,Meeting,3,4.0,4,4.0,0.0,exact_type_nearby_floor,Allocated
RB28282,E0077,2025-01-01,2025-01-01 09:45:00,2025-01-01 10:00:00,2025-01-01 11:15:00,2025-01-01 11:30:00,90,60,Focus,R027,Focus,4,3.0,4,8.0,15.0,exact_type_nearby_floor,Allocated
RB31033,E0039,2025-01-01,2025-01-01 10:00:00,2025-01-01 10:00:00,2025-01-01 10:30:00,2025-01-01 10:30:00,30,15,Meeting,R037,Training,1,4.0,4,4.0,0.0,similar_type_any_floor,Allocated
RB37571,E0692,2025-01-01,2025-01-01 09:45:00,2025-01-01 10:00:00,2025-01-01 11:00:00,2025-01-01 11:15:00,75,60,Focus,R011,Focus,3,2.0,6,8.0,15.0,exact_type_nearby_floor,Allocated
RB02127,E0639,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:15:00,2025-01-01 11:45:00,2025-01-01 11:45:00,90,60,Training,R026,Training,3,3.0,4,4.0,0.0,exact_type_exact_floor,Allocated
RB02350,E0136,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:15:00,2025-01-01 11:30:00,2025-01-01 11:30:00,75,120,Conference,R045,Conference,2,5.0,4,8.0,0.0,exact_type_any_floor,Allocated
RB03196,E0408,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:15:00,2025-01-01 11:15:00,2025-01-01 11:15:00,60,0,Meeting,R043,Focus,4,5.0,6,8.0,0.0,similar_type_any_floor,Allocated
RB05247,E0499,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:15:00,2025-01-01 10:45:00,2025-01-01 10:45:00,30,0,Meeting,R017,Focus,3,2.0,6,8.0,0.0,similar_type_any_floor,Allocated
RB24120,E0740,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:15:00,2025-01-01 11:45:00,2025-01-01 11:45:00,90,120,Training,R036,Training,5,4.0,4,4.0,0.0,exact_type_nearby_floor,Allocated
RB26557,E0617,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:15:00,2025-01-01 11:00:00,2025-01-01 11:00:00,45,120,Meeting,R022,Focus,5,3.0,4,4.0,0.0,similar_type_any_floor,Allocated
RB29474,E0741,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:15:00,2025-01-01 09:45:00,2025-01-01 10:45:00,30,60,Focus,R040,Training,4,4.0,12,16.0,60.0,similar_type_exact_floor,Allocated
RB29726,E0097,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:15:00,2025-01-01 11:45:00,2025-01-01 11:45:00,90,15,Meeting,R016,Focus,5,2.0,4,4.0,0.0,similar_type_any_floor,Allocated
RB30522,E0953,2025-01-01,2025-01-01 10:00:00,2025-01-01 10:15:00,2025-01-01 10:45:00,2025-01-01 11:00:00,45,60,Meeting,R001,Conference,1,1.0,6,8.0,15.0,similar_type_exact_floor,Allocated
RB31189,E0933,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:15:00,2025-01-01 12:00:00,2025-01-01 12:00:00,105,120,Meeting,R019,Focus,4,2.0,4,4.0,0.0,similar_type_any_floor,Allocated
RB34494,E0290,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:15:00,2025-01-01 10:15:00,2025-01-01 11:15:00,60,120,Focus,R018,Training,2,2.0,16,16.0,60.0,similar_type_exact_floor,Allocated
RB09191,E0463,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:30:00,2025-01-01 10:45:00,2025-01-01 11:00:00,30,60,Conference,R010,Conference,4,1.0,6,8.0,15.0,exact_type_any_floor,Allocated
RB19943,E0696,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:30:00,2025-01-01 12:00:00,2025-01-01 12:15:00,105,60,Conference,R003,Meeting,1,1.0,6,8.0,15.0,similar_type_exact_floor,Allocated
RB21351,E0906,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:30:00,2025-01-01 11:45:00,2025-01-01 12:00:00,90,15,Conference,R046,Training,4,5.0,8,8.0,15.0,similar_type_any_floor,Allocated
RB00555,E0113,2025-01-01,2025-01-01 10:45:00,2025-01-01 10:45:00,2025-01-01 12:00:00,2025-01-01 12:00:00,75,15,Conference,R025,Meeting,3,3.0,6,8.0,0.0,similar_type_exact_floor,Allocated
RB03109,E0821,2025-01-01,2025-01-01 09:30:00,2025-01-01 10:45:00,2025-01-01 11:00:00,2025-01-01 12:15:00,90,120,Training,R040,Training,4,4.0,16,16.0,75.0,exact_type_exact_floor,Allocated
RB09575,E0336,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:45:00,2025-01-01 10:45:00,2025-01-01 11:15:00,30,120,Training,R008,Meeting,1,1.0,12,16.0,30.0,similar_type_exact_floor,Allocated
RB23808,E0621,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:45:00,2025-01-01 11:45:00,2025-01-01 12:15:00,90,60,Training,R049,Training,4,5.0,8,8.0,30.0,exact_type_nearby_floor,Allocated
RB26430,E0884,2025-01-01,2025-01-01 10:30:00,2025-01-01 10:45:00,2025-01-01 12:00:00,2025-01-01 12:15:00,90,30,Conference,R015,Conference,4,2.0,6,8.0,15.0,exact_type_any_floor,Allocated
