employee_id,department,work_mode,preferred_floor,preferred_zone,preferred_start_hour,preferred_room_type,typical_capacity,typical_duration_minutes,preferred_flexibility_minutes
E0046,Finance,Office,5,Collaborative,10,Meeting,2,45,30
E0047,Operations,Office,4,Open,9,Conference,4,60,30
E0048,Finance,Hybrid,3,Collaborative,9,Meeting,4,60,15
E0049,AI,Hybrid,5,Quiet,9,Meeting,4,105,0
E0050,HR,Hybrid,2,Quiet,9,Meeting,6,90,0
E0051,Sales,Hybrid,3,Collaborative,8,Meeting,4,60,60
E0052,HR,Office,4,Quiet,10,Meeting,4,120,0
E0053,Operations,Hybrid,5,Quiet,9,Focus,4,60,60
E0054,Sales,Hybrid,2,Open,10,Conference,16,30,15
E0055,AI,Office,3,Collaborative,8,Conference,6,60,30
E0056,Operations,Hybrid,2,Quiet,10,Meeting,6,60,30
E0057,Engineering,Hybrid,4,Open,9,Meeting,8,45,15
E0058,Finance,Office,2,Quiet,9,Meeting,16,105,0
E0059,AI,Remote,1,Open,9,Meeting,4,90,15
E0060,Finance,Hybrid,3,Collaborative,10,Meeting,8,60,60
E0061,Marketing,Hybrid,2,Open,9,Training,8,75,60
E0062,Engineering,Hybrid,4,Open,9,Conference,8,90,15
E0063,Engineering,Hybrid,4,Open,10,Conference,2,105,30
E0064,AI,Hybrid,2,Open,10,Conference,8,90,0
E0065,Engineering,Hybrid,4,Quiet,9,Focus,2,60,15
E0066,Sales,Hybrid,5,Open,9,Meeting,8,90,0
E0067,Engineering,Hybrid,5,Collaborative,9,Meeting,8,75,60
E0068,Finance,Hybrid,5,Collaborative,9,Meeting,4,75,15
E0069,Finance,Hybrid,1,Collaborative,9,Training,10,30,15
E0070,Operations,Hybrid,2,Collaborative,10,Focus,2,45,15
E0071,Finance,Hybrid,1,Quiet,10,Meeting,10,60,0
E0072,Operations,Hybrid,4,Collaborative,9,Training,6,60,30
E0073,Finance,Remote,1,Collaborative,9,Training,4,30,0
E0074,Sales,Hybrid,4,Open,9,Meeting,2,90,0
E0075,Operations,Office,4,Open,10,Meeting,16,30,30
E0076,HR,Office,3,Collaborative,10,Meeting,2,75,15
E0077,Marketing,Hybrid,5,Collaborative,9,Focus,4,60,60
E0078,AI,Hybrid,4,Quiet,10,Meeting,4,120,30
E0079,Finance,Hybrid,3,Quiet,9,Training,8,60,15
E0080,Engineering,Hybrid,5,Quiet,9,Meeting,6,30,60
E0081,Finance,Office,4,Collaborative,8,Conference,2,75,0
E0082,Engineering,Hybrid,4,Quiet,9,Meeting,4,90,30
E0083,Marketing,Hybrid,1,Open,9,Conference,4,120,30
E0084,Marketing,Hybrid,1,Collaborative,9,Training,4,60,15
E0085,Marketing,Hybrid,5,Collaborative,9,Training,6,60,30
E0086,Engineering,Office,4,Collaborative,10,Training,8,90,60
E0087,Finance,Hybrid,2,Quiet,8,Meeting,4,45,120
E0088,Marketing,Hybrid,1,Collaborative,9,Conference,4,75,30
E0089,Sales,Remote,5,Open,9,Meeting,4,60,30
E0090,Operations,Office,4,Collaborative,9,Meeting,16,30,15
E0091,Engineering,Hybrid,4,Collaborative,9,Conference,16,60,15
E0092,Engineering,Hybrid,2,Open,9,Meeting,10,60,30
E0093,Finance,Hybrid,5,Open,8,Conference,4,75,15
E0094,Engineering,Hybrid,4,Open,9,Focus,2,105,120
E0095,Engineering,Hybrid,1,Collaborative,9,Meeting,4,60,15
E0096,Marketing,Hybrid,2,Open,8,Conference,4,90,15
E0097,Finance,Hybrid,5,Quiet,9,Meeting,6,30,15
E0098,Marketing,Hybrid,2,Collaborative,9,Meeting,10,60,60
E0099,Operations,Remote,1,Quiet,9,Meeting,12,30,60
E0100,Operations,Hybrid,5,Collaborative,10,Focus,10,105,30
E0101,Marketing,Hybrid,2,Collaborative,8,Training,4,90,15
E0102,Operations,Hybrid,3,Quiet,8,Focus,8,75,60
E0103,Finance,Remote,1,Open,10,Focus,4,90,0
E0104,AI,Hybrid,1,Open,9,Meeting,2,75,60
E0105,Marketing,Hybrid,1,Open,9,Meeting,8,120,30
E0106,Sales,Remote,3,Collaborative,10,Conference,2,90,15
E0107,Sales,Remote,3,Open,10,Conference,6,105,30
E0108,Engineering,Office,4,Quiet,10,Meeting,4,60,60
E0109,Operations,Hybrid,2,Open,9,Meeting,8,30,0
E0110,Sales,Hybrid,4,Quiet,9,Conference,10,60,60
E0111,Engineering,Office,2,Open,9,Conference,4,45,30
E0112,AI,Remote,3,Quiet,8,Meeting,10,75,15
E0113,Finance,Hybrid,3,Open,9,Conference,4,60,0
E0114,Finance,Hybrid,4,Open,9,Conference,6,75,30
E0115,Finance,Hybrid,5,Quiet,10,Conference,8,30,30
E0116,Sales,Office,4,Collaborative,9,Meeting,8,45,30
E0117,AI,Hybrid,2,Open,9,Conference,16,60,60
E0118,Sales,Hybrid,4,Collaborative,9,Meeting,4,120,30
E0119,Operations,Hybrid,1,Open,8,Meeting,8,60,120
E0120,Sales,Hybrid,2,Collaborative,8,Training,8,60,30
E0121,AI,Hybrid,2,Collaborative,9,Conference,12,90,60
E0122,AI,Hybrid,5,Quiet,8,Meeting,4,75,0
E0123,Operations,Office,3,Quiet,9,Conference,10,60,15
E0124,AI,Hybrid,2,Open,10,Conference,8,60,15
E0125,AI,Hybrid,3,Collaborative,10,Training,4,45,30
E0126,Finance,Hybrid,4,Collaborative,9,Conference,6,120,60
E0127,Operations,Hybrid,1,Collaborative,9,Conference,4,45,0
E0128,HR,Hybrid,5,Collaborative,10,Conference,8,60,0
E0129,HR,Hybrid,3,Open,10,Meeting,12,30,60
E0130,AI,Hybrid,2,Open,8,Meeting,8,45,15
E0131,HR,Hybrid,3,Collaborative,9,Meeting,8,90,60
E0132,HR,Hybrid,2,Open,9,Conference,6,45,30
E0133,AI,Remote,3,Open,10,Conference,2,30,60
E0134,HR,Hybrid,2,Collaborative,10,Meeting,4,60,0
E0135,Sales,Office,4,Open,8,Meeting,6,30,0
E0136,Engineering,Hybrid,2,Quiet,10,Conference,4,30,30
E0137,Operations,Office,2,Quiet,9,Meeting,4,90,120
E0138,Engineering,Office,1,Open,10,Conference,6,90,30
E0139,AI,Hybrid,2,Collaborative,9,Meeting,4,105,15
E0140,Finance,Hybrid,1,Open,10,Conference,4,90,30
E0141,Operations,Hybrid,5,Open,8,Focus,6,75,120
E0142,AI,Hybrid,1,Quiet,9,Meeting,2,30,60
E0143,Finance,Remote,4,Open,8,Conference,12,90,120
E0144,Engineering,Office,1,Collaborative,10,Meeting,12,90,0
E0145,AI,Remote,5,Collaborative,10,Conference,8,90,0
E0146,Operations,Hybrid,4,Open,10,Conference,2,60,30
E0147,Operations,Office,3,Open,10,Meeting,10,45,60
E0148,Marketing,Remote,3,Quiet,8,Conference,10,90,15
E0149,Sales,Hybrid,1,Collaborative,9,Training,10,90,15
E0150,HR,Hybrid,1,Open,8,Meeting,2,120,60
E0151,Finance,Office,5,Open,9,Meeting,8,45,0
E0152,Marketing,Hybrid,5,Open,9,Training,10,45,15
E0153,HR,Office,2,Quiet,9,Conference,8,45,30
E0154,HR,Hybrid,5,Quiet,9,Training,8,90,30
E0155,AI,Office,2,Collaborative,8,Conference,6,45,60
E0156,HR,Hybrid,4,Open,8,Training,6,30,15
E0157,Sales,Hybrid,1,Quiet,8,Meeting,2,120,30
E0158,Operations,Hybrid,4,Quiet,10,Conference,8,30,30
E0159,Marketing,Office,5,Open,10,Focus,2,90,30
E0160,HR,Office,4,Quiet,10,Conference,6,60,30
E0161,AI,Hybrid,4,Open,9,Meeting,4,90,15
E0162,Sales,Hybrid,4,Open,9,Meeting,6,75,0
E0163,Engineering,Remote,5,Open,10,Meeting,2,90,0
E0164,Operations,Hybrid,4,Quiet,9,Meeting,8,105,15
E0165,Operations,Office,2,Quiet,9,Meeting,10,30,30
E0166,Marketing,Hybrid,5,Open,9,Conference,4,30,60
E0167,Operations,Hybrid,4,Open,8,Conference,2,60,60
E0168,HR,Hybrid,5,Open,9,Meeting,2,75,60
E0169,AI,Hybrid,3,Quiet,9,Conference,12,90,15
E0170,Operations,Office,2,Open,9,Meeting,6,60,30
E0171,Operations,Hybrid,4,Open,8,Meeting,6,75,15
E0172,Engineering,Hybrid,3,Open,9,Meeting,2,45,0
E0173,Engineering,Remote,3,Open,10,Conference,8,90,0
E0174,Finance,Hybrid,5,Open,8,Meeting,12,120,30
E0175,Sales,Hybrid,3,Open,9,Meeting,10,60,120
E0176,HR,Remote,2,Quiet,10,Meeting,8,60,0
E0177,Operations,Office,2,Collaborative,8,Training,2,30,0
E0178,Operations,Hybrid,1,Quiet,8,Meeting,2,75,60
E0179,AI,Remote,2,Collaborative,9,Conference,2,60,15
E0180,Finance,Office,3,Collaborative,9,Conference,4,45,60
E0181,Sales,Hybrid,2,Quiet,9,Training,2,60,60
E0182,Finance,Hybrid,5,Collaborative,10,Focus,4,60,120
E0183,Marketing,Office,1,Quiet,8,Meeting,4,60,30
E0184,Sales,Office,3,Open,9,Meeting,12,75,60
E0185,Operations,Hybrid,1,Open,9,Training,8,30,30
E0186,Operations,Remote,3,Quiet,8,Conference,10,90,30
E0187,Sales,Office,5,Open,9,Conference,8,90,30
E0188,Operations,Hybrid,1,Collaborative,9,Conference,2,60,0
E0189,HR,Hybrid,4,Quiet,9,Conference,8,30,30
E0190,Sales,Hybrid,3,Quiet,8,Focus,4,90,30
E0191,Finance,Office,4,Collaborative,9,Focus,8,120,60
E0192,Sales,Hybrid,1,Open,9,Conference,4,60,60
E0193,Operations,Hybrid,4,Open,10,Meeting,16,60,60
E0194,HR,Office,4,Quiet,8,Training,4,45,0
E0195,HR,Remote,1,Quiet,9,Meeting,4,75,60
E0196,Marketing,Hybrid,5,Collaborative,9,Meeting,12,45,30
E0197,Finance,Office,4,Quiet,9,Training,2,60,60
E0198,Engineering,Hybrid,4,Quiet,9,Meeting,8,75,120
E0199,Engineering,Office,5,Quiet,9,Meeting,8,75,0
E0200,Sales,Hybrid,4,Open,10,Meeting,10,60,60
E0201,Marketing,Hybrid,4,Open,10,Training,16,60,0
E0202,AI,Office,4,Collaborative,9,Conference,16,75,15
E0203,Sales,Hybrid,2,Open,9,Conference,2,30,30
E0204,Marketing,Hybrid,5,Collaborative,10,Meeting,10,30,0
E0205,Finance,Office,4,Collaborative,10,Training,8,90,60
E0206,Finance,Office,5,Quiet,10,Training,8,30,0
E0207,Finance,Office,3,Open,9,Meeting,2,75,0
E0208,Finance,Office,3,Open,8,Meeting,8,105,30
E0209,Finance,Hybrid,4,Open,9,Meeting,16,60,60
E0210,Marketing,Hybrid,5,Collaborative,9,Focus,12,60,120
E0211,Marketing,Hybrid,5,Open,9,Conference,6,75,60
E0212,HR,Hybrid,5,Quiet,9,Focus,2,90,60
E0213,Engineering,Remote,2,Open,10,Meeting,4,105,15
E0214,Operations,Hybrid,3,Collaborative,9,Training,10,90,0
E0215,Finance,Hybrid,5,Collaborative,10,Training,8,30,0
E0216,AI,Hybrid,5,Collaborative,9,Conference,6,75,30
E0217,Operations,Remote,2,Open,9,Focus,2,60,60
E0218,Marketing,Hybrid,2,Quiet,9,Meeting,6,60,30
E0219,AI,Hybrid,5,Open,10,Meeting,6,30,60
E0220,AI,Hybrid,1,Quiet,8,Conference,12,45,30
E0221,AI,Office,5,Open,8,Conference,8,90,0
E0222,HR,Hybrid,5,Open,10,Conference,4,60,0
E0223,Marketing,Remote,2,Open,8,Meeting,6,60,60
E0224,AI,Remote,2,Collaborative,9,Conference,2,60,60
E0225,Finance,Hybrid,5,Collaborative,9,Meeting,16,90,60
E0226,Sales,Office,5,Quiet,9,Meeting,4,90,0
E0227,AI,Remote,5,Open,9,Conference,6,60,120
E0228,HR,Office,2,Quiet,9,Conference,4,30,15
E0229,Operations,Hybrid,5,Collaborative,9,Meeting,8,60,0
E0230,Marketing,Hybrid,5,Quiet,9,Meeting,8,105,120
E0231,HR,Office,4,Quiet,9,Meeting,8,75,15
E0232,AI,Hybrid,1,Open,8,Meeting,4,60,60
E0233,Marketing,Office,3,Quiet,9,Training,4,75,0
E0234,Sales,Remote,1,Open,8,Focus,2,60,30
E0235,AI,Remote,4,Collaborative,9,Meeting,8,90,120
E0236,HR,Hybrid,3,Quiet,9,Training,2,60,15
E0237,Engineering,Hybrid,5,Collaborative,8,Training,8,30,60
E0238,Finance,Remote,4,Quiet,10,Training,12,45,0
E0239,Operations,Office,5,Quiet,9,Meeting,12,60,30
E0240,HR,Hybrid,2,Open,10,Focus,6,105,15
E0241,Marketing,Remote,4,Quiet,10,Meeting,6,60,15
E0242,AI,Remote,2,Open,9,Meeting,2,90,15
E0243,Finance,Hybrid,4,Quiet,8,Meeting,8,90,0
E0244,AI,Hybrid,4,Quiet,9,Conference,10,60,120
E0245,Marketing,Hybrid,2,Open,10,Meeting,4,30,15
E0246,AI,Hybrid,3,Collaborative,9,Meeting,6,30,15
E0247,Engineering,Hybrid,1,Quiet,8,Meeting,10,90,30
E0248,Finance,Office,5,Collaborative,9,Training,12,45,15
E0249,Finance,Hybrid,4,Quiet,10,Training,4,60,60
E0250,Marketing,Hybrid,5,Open,10,Meeting,8,60,120
E0251,Operations,Hybrid,2,Collaborative,8,Training,4,90,30
E0252,Engineering,Hybrid,5,Open,9,Training,2,30,60
E0253,HR,Remote,2,Open,9,Training,12,60,30
E0254,AI,Hybrid,5,Collaborative,9,Meeting,10,60,0
E0255,Sales,Hybrid,1,Open,10,Conference,10,75,60
E0256,AI,Office,1,Collaborative,9,Focus,2,90,30
E0257,AI,Hybrid,1,Open,9,Conference,10,45,60
E0258,HR,Hybrid,1,Quiet,8,Meeting,6,90,60
E0259,AI,Hybrid,1,Open,10,Conference,4,75,30
E0260,Engineering,Hybrid,1,Collaborative,10,Conference,6,75,120
E0261,Engineering,Hybrid,2,Collaborative,9,Conference,2,75,60
E0262,Finance,Hybrid,4,Open,10,Meeting,10,60,30
E0263,Marketing,Hybrid,5,Open,8,Meeting,8,45,30
E0264,Operations,Remote,1,Quiet,9,Training,4,75,15
E0265,Sales,Hybrid,2,Quiet,9,Training,4,60,120
E0266,AI,Hybrid,2,Open,8,Meeting,4,75,60
E0267,AI,Office,2,Open,9,Focus,2,60,0
E0268,HR,Hybrid,4,Open,10,Meeting,8,90,15
E0269,Marketing,Office,5,Open,8,Conference,10,75,30
E0270,Engineering,Hybrid,4,Open,9,Training,2,30,0
E0271,Sales,Remote,3,Open,9,Training,2,60,0
E0272,Finance,Hybrid,2,Quiet,9,Focus,8,90,30
E0273,Engineering,Hybrid,3,Quiet,10,Meeting,10,90,15
E0274,Marketing,Hybrid,1,Open,9,Training,4,60,30
E0275,Operations,Remote,1,Open,9,Meeting,4,90,15
E0276,Finance,Hybrid,4,Quiet,10,Conference,8,60,0
E0277,Operations,Hybrid,5,Collaborative,8,Conference,4,60,60
E0278,HR,Hybrid,3,Open,9,Conference,2,90,30
E0279,HR,Office,5,Collaborative,9,Meeting,8,90,15
E0280,AI,Hybrid,4,Collaborative,9,Training,8,75,15
E0281,Operations,Remote,1,Collaborative,10,Meeting,8,90,30
E0282,Marketing,Hybrid,5,Quiet,10,Meeting,8,30,0
E0283,Sales,Hybrid,5,Collaborative,9,Conference,8,90,0
E0284,Finance,Hybrid,1,Collaborative,10,Conference,4,60,0
E0285,Engineering,Hybrid,3,Quiet,8,Training,4,45,60
E0286,Marketing,Hybrid,1,Open,8,Meeting,2,45,60
E0287,Marketing,Hybrid,5,Collaborative,9,Meeting,2,60,60
E0288,HR,Office,3,Open,9,Training,8,60,60
E0289,Operations,Hybrid,3,Open,9,Conference,12,60,60
E0290,AI,Hybrid,1,Quiet,9,Meeting,16,45,30
E0291,AI,Hybrid,5,Open,10,Conference,8,60,30
E0292,Finance,Hybrid,4,Collaborative,9,Conference,4,75,0
E0293,HR,Hybrid,5,Open,9,Conference,2,60,30
E0294,Marketing,Hybrid,2,Quiet,8,Conference,10,60,60
E0295,Sales,Hybrid,4,Open,8,Training,8,90,30
E0296,HR,Remote,3,Open,9,Training,8,90,15
E0297,Finance,Remote,4,Quiet,9,Conference,10,90,15
E0298,Finance,Hybrid,3,Quiet,10,Meeting,8,60,30
E0299,HR,Hybrid,3,Open,8,Training,10,90,60
E0300,Finance,Office,4,Open,8,Conference,2,45,60
E0301,HR,Hybrid,3,Collaborative,9,Conference,8,45,15
E0302,Engineering,Hybrid,3,Open,9,Meeting,12,60,60
E0303,HR,Hybrid,2,Collaborative,8,Training,4,90,30
E0304,Operations,Office,5,Open,9,Conference,8,60,60
E0305,HR,Office,5,Quiet,8,Meeting,4,30,30
E0306,Finance,Hybrid,2,Open,9,Meeting,16,45,30
E0307,Operations,Hybrid,4,Quiet,9,Training,2,90,30
E0308,Finance,Hybrid,1,Collaborative,8,Meeting,8,75,60
E0309,AI,Office,1,Quiet,9,Focus,4,60,120
E0310,AI,Hybrid,1,Quiet,10,Conference,8,75,0
E0311,Operations,Hybrid,2,Collaborative,9,Conference,4,60,0
E0312,Engineering,Office,2,Quiet,10,Meeting,4,75,120
E0313,AI,Hybrid,3,Open,8,Meeting,6,45,30
E0314,HR,Office,1,Quiet,10,Focus,12,90,30
E0315,Finance,Hybrid,4,Collaborative,9,Meeting,4,60,30
E0316,AI,Hybrid,4,Collaborative,9,Training,2,75,0
E0317,AI,Hybrid,1,Quiet,9,Meeting,10,30,60
E0318,Engineering,Office,1,Quiet,10,Meeting,6,60,60
E0319,Operations,Remote,1,Collaborative,9,Meeting,12,60,15
E0320,Operations,Office,2,Collaborative,8,Conference,2,75,15
E0321,Marketing,Hybrid,2,Collaborative,8,Focus,8,30,60
E0322,Engineering,Office,2,Collaborative,10,Meeting,4,90,0
E0323,HR,Hybrid,5,Collaborative,9,Meeting,4,45,60
E0324,Operations,Hybrid,4,Quiet,10,Meeting,8,75,15
E0325,Finance,Remote,4,Collaborative,9,Conference,8,90,30
E0326,Engineering,Hybrid,3,Open,9,Meeting,10,75,120
E0327,AI,Hybrid,2,Collaborative,8,Training,4,90,60
E0328,Finance,Hybrid,5,Open,10,Conference,6,75,30
E0329,Finance,Hybrid,5,Collaborative,9,Conference,6,60,60
E0330,AI,Hybrid,4,Open,10,Meeting,16,90,15
E0331,Engineering,Hybrid,2,Open,9,Focus,4,60,15
E0332,AI,Hybrid,3,Collaborative,9,Meeting,4,75,120
E0333,Marketing,Remote,2,Open,9,Meeting,4,90,60
E0334,Finance,Office,1,Quiet,9,Conference,8,60,30
E0335,Sales,Hybrid,2,Quiet,10,Conference,4,60,15
E0336,Sales,Hybrid,1,Open,10,Meeting,12,60,0
E0337,HR,Hybrid,1,Open,10,Meeting,4,90,0
E0338,Operations,Hybrid,3,Quiet,9,Training,12,105,30
E0339,AI,Hybrid,4,Quiet,9,Meeting,2,75,60
E0340,AI,Office,2,Quiet,9,Training,8,75,30
E0341,HR,Hybrid,1,Quiet,10,Conference,12,90,60
E0342,HR,Hybrid,2,Open,8,Meeting,4,30,0
E0343,HR,Hybrid,4,Collaborative,9,Conference,16,45,15
E0344,Finance,Hybrid,4,Collaborative,9,Meeting,6,75,15
E0345,Marketing,Remote,5,Collaborative,9,Training,12,90,30
E0346,AI,Office,4,Quiet,10,Conference,8,90,0
E0347,Finance,Hybrid,3,Quiet,9,Meeting,4,60,120
E0348,HR,Remote,1,Open,9,Conference,4,30,15
E0349,AI,Hybrid,5,Open,8,Focus,4,60,120
E0350,Finance,Remote,3,Open,9,Meeting,2,45,30
E0351,Marketing,Office,2,Quiet,9,Focus,2,60,120
E0352,Finance,Hybrid,1,Open,9,Meeting,2,90,30
E0353,Marketing,Hybrid,4,Open,10,Meeting,6,30,120
E0354,HR,Hybrid,1,Open,10,Meeting,10,90,0
E0355,Marketing,Hybrid,2,Collaborative,8,Meeting,2,60,60
E0356,AI,Office,5,Collaborative,9,Meeting,2,75,120
E0357,HR,Hybrid,5,Collaborative,10,Meeting,8,30,0
E0358,AI,Hybrid,5,Quiet,8,Focus,4,60,0
E0359,Sales,Office,4,Quiet,8,Training,2,30,30
E0360,Engineering,Remote,3,Quiet,8,Conference,4,120,120
E0361,Marketing,Hybrid,3,Collaborative,9,Meeting,12,90,30
E0362,Engineering,Hybrid,1,Open,8,Meeting,10,60,30
E0363,Engineering,Hybrid,4,Collaborative,10,Meeting,4,45,0
E0364,Marketing,Hybrid,5,Quiet,9,Conference,8,105,0
E0365,HR,Remote,5,Open,9,Focus,6,60,60
E0366,Sales,Hybrid,2,Open,9,Meeting,8,45,0
E0367,AI,Hybrid,2,Open,9,Meeting,8,75,30
E0368,Finance,Hybrid,5,Open,9,Conference,8,105,120
E0369,AI,Hybrid,5,Collaborative,10,Meeting,4,30,15
E0370,Finance,Office,4,Open,10,Meeting,2,45,60
E0371,AI,Office,3,Quiet,9,Conference,6,105,0
E0372,Marketing,Hybrid,2,Collaborative,10,Conference,12,45,30
E0373,Sales,Hybrid,3,Quiet,10,Meeting,8,30,0
E0374,Finance,Hybrid,4,Quiet,10,Meeting,10,75,60
E0375,Operations,Remote,5,Quiet,8,Focus,16,90,15
E0376,HR,Remote,3,Open,8,Meeting,4,60,30
E0377,AI,Hybrid,5,Open,9,Meeting,8,120,30
E0378,AI,Office,5,Collaborative,9,Meeting,8,75,0
E0379,Finance,Office,1,Quiet,9,Meeting,16,30,60
E0380,HR,Hybrid,3,Open,9,Meeting,16,120,15
E0381,HR,Remote,3,Open,10,Training,8,60,60
E0382,Marketing,Hybrid,5,Collaborative,10,Meeting,4,60,0
E0383,Operations,Hybrid,4,Open,10,Meeting,10,75,60
E0384,Marketing,Hybrid,1,Quiet,9,Conference,2,60,0
E0385,Marketing,Hybrid,5,Collaborative,9,Conference,10,30,30
E0386,Marketing,Hybrid,2,Open,9,Training,12,30,15
E0387,Marketing,Office,2,Quiet,8,Training,4,60,60
E0388,Marketing,Hybrid,1,Collaborative,8,Meeting,8,90,15
E0389,Sales,Office,4,Open,9,Training,6,75,60
E0390,HR,Hybrid,5,Open,9,Conference,6,120,60
E0391,Marketing,Hybrid,3,Quiet,10,Focus,4,60,0
E0392,HR,Hybrid,1,Quiet,8,Conference,10,60,30
E0393,HR,Hybrid,4,Quiet,9,Focus,12,45,0
E0394,Engineering,Office,3,Open,9,Training,12,45,15
E0395,Sales,Hybrid,2,Collaborative,9,Meeting,4,60,60
E0396,Marketing,Hybrid,2,Quiet,9,Conference,12,90,60
E0397,AI,Hybrid,3,Open,9,Focus,8,90,30
E0398,Finance,Office,1,Collaborative,9,Training,4,120,15
E0399,Operations,Remote,2,Quiet,9,Meeting,2,45,15
E0400,AI,Office,5,Collaborative,8,Conference,4,90,0
E0401,Sales,Hybrid,3,Open,8,Meeting,12,60,60
E0402,Finance,Hybrid,3,Quiet,9,Meeting,8,30,30
E0403,Sales,Hybrid,2,Quiet,10,Meeting,8,90,60
E0404,HR,Hybrid,1,Open,9,Meeting,4,75,15
E0405,Finance,Hybrid,5,Collaborative,9,Training,8,45,15
E0406,HR,Hybrid,1,Collaborative,9,Meeting,2,60,15
E0407,AI,Hybrid,4,Collaborative,10,Training,4,60,0
E0408,AI,Hybrid,4,Quiet,10,Meeting,8,90,15
E0409,Finance,Office,2,Quiet,9,Meeting,2,60,60
E0410,Finance,Hybrid,2,Collaborative,9,Meeting,10,120,60
E0411,Marketing,Hybrid,2,Quiet,10,Meeting,4,30,30
E0412,Sales,Office,4,Quiet,9,Meeting,8,60,30
E0413,Marketing,Hybrid,1,Open,9,Meeting,6,60,0
E0414,Sales,Office,1,Open,8,Conference,8,60,60
E0415,Marketing,Hybrid,2,Open,10,Meeting,2,60,0
E0416,HR,Hybrid,5,Open,10,Meeting,2,90,120
E0417,Finance,Office,1,Quiet,8,Meeting,12,90,30
E0418,AI,Office,4,Open,9,Training,4,105,15
E0419,Sales,Office,3,Quiet,9,Focus,10,90,120
E0420,Sales,Hybrid,3,Open,8,Conference,16,90,0
E0421,AI,Hybrid,3,Open,10,Meeting,4,75,30
E0422,Marketing,Hybrid,5,Open,9,Meeting,4,90,30
E0423,Sales,Hybrid,2,Open,8,Focus,8,60,15
E0424,Operations,Remote,4,Collaborative,9,Meeting,16,60,30
E0425,HR,Hybrid,5,Quiet,9,Meeting,12,60,60
E0426,Finance,Remote,4,Collaborative,8,Meeting,6,60,60
E0427,AI,Hybrid,4,Collaborative,9,Meeting,10,60,0
E0428,Finance,Hybrid,2,Quiet,9,Meeting,2,120,120
E0429,Operations,Hybrid,3,Open,8,Training,16,60,0
E0430,Sales,Remote,2,Open,8,Meeting,16,30,15
E0431,Sales,Office,5,Quiet,9,Conference,4,60,15
E0432,Operations,Office,5,Open,9,Meeting,4,30,0
E0433,AI,Office,5,Open,10,Meeting,2,30,0
E0434,HR,Office,2,Open,10,Focus,4,45,120
E0435,Engineering,Office,4,Open,10,Meeting,10,60,15
