booking_id,employee_id,booking_date,requested_start_datetime,requested_end_datetime,requested_duration_minutes,requested_room_type,requested_capacity,max_time_flexibility_minutes,requested_floor
RB16401,E0001,2025-01-01,2025-01-01 08:45:00,2025-01-01 09:15:00,30,Meeting,2,60,2
RB33941,E0309,2025-01-01,2025-01-01 08:45:00,2025-01-01 09:45:00,60,Focus,4,120,1
RB04124,E0061,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:45:00,45,Training,2,60,2
RB04932,E0580,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:45:00,45,Training,8,120,1
RB07521,E0676,2025-01-01,2025-01-01 09:00:00,2025-01-01 10:15:00,75,Focus,8,30,5
RB09982,E0401,2025-01-01,2025-01-01 09:00:00,2025-01-01 10:30:00,90,Conference,4,0,3
RB10433,E0110,2025-01-01,2025-01-01 09:00:00,2025-01-01 10:30:00,90,Conference,10,120,4
RB12010,E0683,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:30:00,30,Training,16,15,5
RB12613,E0965,2025-01-01,2025-01-01 09:00:00,2025-01-01 10:00:00,60,Meeting,4,60,1
RB16657,E0170,2025-01-01,2025-01-01 09:00:00,2025-01-01 10:45:00,105,Meeting,8,30,2
RB18705,E0891,2025-01-01,2025-01-01 09:00:00,2025-01-01 10:30:00,90,Training,2,15,1
RB23091,E0905,2025-01-01,2025-01-01 09:00:00,2025-01-01 10:00:00,60,Training,6,30,4
RB25487,E0540,2025-01-01,2025-01-01 09:00:00,2025-01-01 10:30:00,90,Focus,4,15,4
RB27218,E0340,2025-01-01,2025-01-01 09:00:00,2025-01-01 10:00:00,60,Training,6,30,2
RB28195,E0865,2025-01-01,2025-01-01 09:00:00,2025-01-01 10:00:00,60,Meeting,2,15,5
RB32179,E0431,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:30:00,30,Conference,2,60,4
RB35213,E0361,2025-01-01,2025-01-01 09:00:00,2025-01-01 10:30:00,90,Training,12,120,3
RB39285,E0856,2025-01-01,2025-01-01 09:00:00,2025-01-01 09:30:00,30,Meeting,12,120,4
RB01089,E0371,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:45:00,90,Conference,4,0,3
RB01479,E0614,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:45:00,90,Conference,16,30,3
RB04201,E0352,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:00:00,45,Meeting,6,30,1
RB06096,E0334,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:15:00,60,Conference,10,0,1
RB06193,E0279,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:45:00,30,Meeting,8,0,5
RB07225,E0628,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:15:00,60,Meeting,6,0,3
RB10595,E0931,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:45:00,90,Meeting,6,120,4
RB12019,E0368,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:00:00,45,Conference,8,120,3
RB12226,E0385,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:45:00,30,Conference,4,30,3
RB14281,E0713,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:30:00,75,Meeting,16,60,1
RB15139,E0756,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:30:00,75,Focus,8,60,3
RB16252,E0149,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:45:00,30,Focus,12,0,1
RB17213,E0996,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:15:00,60,Meeting,6,15,2
RB20052,E0744,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:45:00,30,Conference,12,0,3
RB20812,E0968,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:30:00,75,Meeting,4,15,5
RB20984,E0431,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:00:00,45,Conference,2,60,5
RB21679,E0754,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:15:00,60,Focus,4,0,4
RB22289,E0735,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:45:00,90,Conference,12,0,2
RB23545,E0533,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:30:00,75,Focus,6,15,5
RB25463,E0311,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:15:00,60,Conference,4,30,2
RB25534,E0212,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:45:00,90,Meeting,2,30,5
RB28421,E0389,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:00:00,45,Training,6,60,4
RB28978,E0908,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:15:00,60,Meeting,4,0,2
RB29474,E0741,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:45:00,30,Focus,12,60,4
RB31216,E0082,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:15:00,60,Training,4,120,4
RB31888,E0969,2025-01-01,2025-01-01 09:15:00,2025-01-01 09:45:00,30,Focus,2,60,2
RB32603,E0027,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:45:00,90,Training,12,15,4
RB34494,E0290,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:15:00,60,Focus,16,120,2
RB36937,E0144,2025-01-01,2025-01-01 09:15:00,2025-01-01 11:00:00,105,Meeting,8,15,1
RB37192,E0169,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:00:00,45,Conference,16,120,3
RB37207,E0479,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:15:00,60,Meeting,8,120,5
RB38628,E0671,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:00:00,45,Focus,12,120,4
RB39112,E0754,2025-01-01,2025-01-01 09:15:00,2025-01-01 10:00:00,45,Meeting,4,120,4
RB00764,E0694,2025-01-01,2025-01-01 09:30:00,2025-01-01 10:45:00,75,Conference,6,15,1
RB01292,E0614,2025-01-01,2025-01-01 09:30:00,2025-01-01 10:45:00,75,Conference,16,30,3
RB03109,E0821,2025-01-01,2025-01-01 09:30:00,2025-01-01 11:00:00,90,Training,16,120,4
RB04549,E0077,2025-01-01,2025-01-01 09:30:00,2025-01-01 10:30:00,60,Focus,4,0,4
RB13419,E0526,2025-01-01,2025-01-01 09:30:00,2025-01-01 10:45:00,75,Meeting,6,15,1
RB18600,E0678,2025-01-01,2025-01-01 09:30:00,2025-01-01 11:15:00,105,Conference,2,0,3
RB19459,E0151,2025-01-01,2025-01-01 09:30:00,2025-01-01 10:15:00,45,Focus,10,30,5
RB24847,E0922,2025-01-01,2025-01-01 09:30:00,2025-01-01 10:45:00,75,Meeting,4,0,3
RB25354,E0466,2025-01-01,2025-01-01 09:30:00,2025-01-01 10:15:00,45,Conference,10,30,2
RB27752,E0030,2025-01-01,2025-01-01 09:30:00,2025-01-01 10:30:00,60,Meeting,2,60,5
RB30664,E0170,2025-01-01,2025-01-01 09:30:00,2025-01-01 10:00:00,30,Meeting,6,120,2
RB31048,E0231,2025-01-01,2025-01-01 09:30:00,2025-01-01 10:15:00,45,Meeting,10,0,5
RB31348,E0344,2025-01-01,2025-01-01 09:30:00,2025-01-01 10:45:00,75,Meeting,4,120,4
RB35729,E0758,2025-01-01,2025-01-01 09:30:00,2025-01-01 10:15:00,45,Conference,6,120,2
RB37153,E0634,2025-01-01,2025-01-01 09:30:00,2025-01-01 10:45:00,75,Training,12,0,3
RB00688,E0749,2025-01-01,2025-01-01 09:45:00,2025-01-01 10:30:00,45,Conference,10,0,2
RB03097,E0839,2025-01-01,2025-01-01 09:45:00,2025-01-01 10:45:00,60,Meeting,6,60,5
RB03711,E0604,2025-01-01,2025-01-01 09:45:00,2025-01-01 11:00:00,75,Conference,4,60,1
RB04473,E0395,2025-01-01,2025-01-01 09:45:00,2025-01-01 10:15:00,30,Meeting,4,60,2
RB11320,E0300,2025-01-01,2025-01-01 09:45:00,2025-01-01 11:00:00,75,Conference,2,30,4
RB21787,E0726,2025-01-01,2025-01-01 09:45:00,2025-01-01 10:45:00,60,Meeting,10,0,4
RB24156,E0494,2025-01-01,2025-01-01 09:45:00,2025-01-01 11:00:00,75,Conference,4,15,1
RB28282,E0077,2025-01-01,2025-01-01 09:45:00,2025-01-01 11:15:00,90,Focus,4,60,4
RB29542,E0930,2025-01-01,2025-01-01 09:45:00,2025-01-01 10:45:00,60,Meeting,4,0,1
RB37571,E0692,2025-01-01,2025-01-01 09:45:00,2025-01-01 11:00:00,75,Focus,6,60,3
RB05936,E0039,2025-01-01,2025-01-01 10:00:00,2025-01-01 11:30:00,90,Meeting,8,30,1
RB07956,E0957,2025-01-01,2025-01-01 10:00:00,2025-01-01 11:15:00,75,Conference,2,0,5
RB08798,E0551,2025-01-01,2025-01-01 10:00:00,2025-01-01 10:45:00,45,Meeting,6,120,4
RB11400,E0869,2025-01-01,2025-01-01 10:00:00,2025-01-01 10:45:00,45,Conference,6,60,4
RB12443,E0927,2025-01-01,2025-01-01 10:00:00,2025-01-01 11:15:00,75,Meeting,10,0,3
RB18868,E0028,2025-01-01,2025-01-01 10:00:00,2025-01-01 11:15:00,75,Meeting,2,15,2
RB25789,E0411,2025-01-01,2025-01-01 10:00:00,2025-01-01 11:00:00,60,Meeting,4,30,3
RB30522,E0953,2025-01-01,2025-01-01 10:00:00,2025-01-01 10:45:00,45,Meeting,6,60,1
RB31033,E0039,2025-01-01,2025-01-01 10:00:00,2025-01-01 10:30:00,30,Meeting,4,15,1
RB32283,E0829,2025-01-01,2025-01-01 10:00:00,2025-01-01 11:30:00,90,Conference,12,15,5
RB35924,E0757,2025-01-01,2025-01-01 10:00:00,2025-01-01 11:30:00,90,Conference,10,30,4
RB02127,E0639,2025-01-01,2025-01-01 10:15:00,2025-01-01 11:45:00,90,Training,4,60,3
RB02350,E0136,2025-01-01,2025-01-01 10:15:00,2025-01-01 11:30:00,75,Conference,4,120,2
RB03196,E0408,2025-01-01,2025-01-01 10:15:00,2025-01-01 11:15:00,60,Meeting,6,0,4
RB05247,E0499,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:45:00,30,Meeting,6,0,3
RB09191,E0463,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:45:00,30,Conference,6,60,4
RB09575,E0336,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:45:00,30,Training,12,120,1
RB19943,E0696,2025-01-01,2025-01-01 10:15:00,2025-01-01 12:00:00,105,Conference,6,60,1
RB21351,E0906,2025-01-01,2025-01-01 10:15:00,2025-01-01 11:45:00,90,Conference,8,15,4
RB21843,E0314,2025-01-01,2025-01-01 10:15:00,2025-01-01 11:45:00,90,Conference,12,30,1
RB23808,E0621,2025-01-01,2025-01-01 10:15:00,2025-01-01 11:45:00,90,Training,8,60,4
RB23959,E0219,2025-01-01,2025-01-01 10:15:00,2025-01-01 10:45:00,30,Meeting,8,15,5
RB24120,E0740,2025-01-01,2025-01-01 10:15:00,2025-01-01 11:45:00,90,Training,4,120,5
RB26557,E0617,2025-01-01,2025-01-01 10:15:00,2025-01-01 11:00:00,45,Meeting,4,120,5
RB27748,E0435,2025-01-01,2025-01-01 10:15:00,2025-01-01 11:00:00,45,Meeting,10,0,4
RB29726,E0097,2025-01-01,2025-01-01 10:15:00,2025-01-01 11:45:00,90,Meeting,4,15,5
RB31189,E0933,2025-01-01,2025-01-01 10:15:00,2025-01-01 12:00:00,105,Meeting,4,120,4
RB35161,E0115,2025-01-01,2025-01-01 10:15:00,2025-01-01 11:30:00,75,Conference,8,60,5
RB35224,E0019,2025-01-01,2025-01-01 10:15:00,2025-01-01 11:00:00,45,Meeting,16,60,3
RB00462,E0634,2025-01-01,2025-01-01 10:30:00,2025-01-01 12:15:00,105,Training,10,0,3
RB03290,E0484,2025-01-01,2025-01-01 10:30:00,2025-01-01 11:30:00,60,Conference,16,60,3
RB13445,E0874,2025-01-01,2025-01-01 10:30:00,2025-01-01 11:15:00,45,Conference,8,0,4
RB26430,E0884,2025-01-01,2025-01-01 10:30:00,2025-01-01 12:00:00,90,Conference,6,30,4
RB30700,E0509,2025-01-01,2025-01-01 10:30:00,2025-01-01 12:00:00,90,Conference,10,30,3
RB33124,E0710,2025-01-01,2025-01-01 10:30:00,2025-01-01 11:45:00,75,Conference,10,30,3
RB34049,E0682,2025-01-01,2025-01-01 10:30:00,2025-01-01 12:00:00,90,Meeting,6,0,1
RB38520,E0468,2025-01-01,2025-01-01 10:30:00,2025-01-01 11:15:00,45,Meeting,12,0,1
RB00555,E0113,2025-01-01,2025-01-01 10:45:00,2025-01-01 12:00:00,75,Conference,6,15,3
RB07982,E0690,2025-01-01,2025-01-01 10:45:00,2025-01-01 12:00:00,75,Conference,10,30,2
RB13726,E0551,2025-01-01,2025-01-01 10:45:00,2025-01-01 11:30:00,45,Focus,10,15,4
RB13876,E0206,2025-01-01,2025-01-01 10:45:00,2025-01-01 11:30:00,45,Training,10,15,5
RB19576,E0343,2025-01-01,2025-01-01 10:45:00,2025-01-01 11:45:00,60,Meeting,16,0,4
RB28091,E0517,2025-01-01,2025-01-01 10:45:00,2025-01-01 12:15:00,90,Training,6,30,2
RB30889,E0255,2025-01-01,2025-01-01 11:00:00,2025-01-01 11:45:00,45,Conference,10,15,2
RB00206,E0213,2025-01-01,2025-01-01 11:15:00,2025-01-01 12:15:00,60,Meeting,2,120,2
RB08464,E0064,2025-01-01,2025-01-01 11:15:00,2025-01-01 12:15:00,60,Conference,10,120,2
RB33561,E0985,2025-01-01,2025-01-01 11:15:00,2025-01-01 12:00:00,45,Training,6,30,2
RB36043,E0809,2025-01-01,2025-01-01 11:15:00,2025-01-01 12:15:00,60,Conference,16,30,4
RB37718,E0357,2025-01-01,2025-01-01 11:15:00,2025-01-01 12:15:00,60,Meeting,8,0,5
RB39453,E0672,2025-01-01,2025-01-01 11:15:00,2025-01-01 12:15:00,60,Training,8,0,1
RB02386,E0536,2025-01-01,2025-01-01 11:30:00,2025-01-01 12:30:00,60,Focus,4,30,2
RB06357,E0969,2025-01-01,2025-01-01 11:30:00,2025-01-01 12:30:00,60,Conference,2,15,1
RB07628,E0583,2025-01-01,2025-01-01 11:30:00,2025-01-01 12:00:00,30,Meeting,2,30,4
RB08569,E0617,2025-01-01,2025-01-01 11:30:00,2025-01-01 12:30:00,60,Meeting,2,15,5
RB25788,E0587,2025-01-01,2025-01-01 11:30:00,2025-01-01 13:00:00,90,Conference,10,0,1
RB36952,E0215,2025-01-01,2025-01-01 11:30:00,2025-01-01 12:30:00,60,Training,6,120,5
RB00513,E0653,2025-01-02,2025-01-02 08:00:00,2025-01-02 09:30:00,90,Meeting,12,30,1
RB01915,E0104,2025-01-02,2025-01-02 08:00:00,2025-01-02 08:30:00,30,Meeting,2,60,1
RB14135,E0481,2025-01-02,2025-01-02 08:00:00,2025-01-02 09:00:00,60,Meeting,6,60,4
RB16465,E0496,2025-01-02,2025-01-02 08:00:00,2025-01-02 09:15:00,75,Meeting,4,60,1
RB20557,E0202,2025-01-02,2025-01-02 08:00:00,2025-01-02 09:30:00,90,Conference,2,30,4
RB24232,E0833,2025-01-02,2025-01-02 08:00:00,2025-01-02 09:30:00,90,Focus,4,30,3
RB25777,E0689,2025-01-02,2025-01-02 08:00:00,2025-01-02 09:15:00,75,Meeting,8,120,4
RB28048,E0687,2025-01-02,2025-01-02 08:00:00,2025-01-02 09:00:00,60,Meeting,6,120,2
RB28109,E0539,2025-01-02,2025-01-02 08:00:00,2025-01-02 09:45:00,105,Meeting,10,0,4
RB29894,E0886,2025-01-02,2025-01-02 08:00:00,2025-01-02 08:45:00,45,Training,6,60,3
RB30846,E0802,2025-01-02,2025-01-02 08:00:00,2025-01-02 09:00:00,60,Meeting,4,60,4
RB32304,E0190,2025-01-02,2025-01-02 08:00:00,2025-01-02 08:45:00,45,Focus,10,0,5
RB37953,E0232,2025-01-02,2025-01-02 08:00:00,2025-01-02 09:30:00,90,Meeting,6,60,1
RB38771,E0120,2025-01-02,2025-01-02 08:00:00,2025-01-02 09:30:00,90,Focus,8,60,2
RB06641,E0248,2025-01-02,2025-01-02 08:15:00,2025-01-02 09:45:00,90,Training,12,60,5
RB07180,E0735,2025-01-02,2025-01-02 08:15:00,2025-01-02 09:45:00,90,Meeting,10,0,4
RB11084,E0300,2025-01-02,2025-01-02 08:15:00,2025-01-02 09:15:00,60,Conference,2,120,4
RB12322,E0237,2025-01-02,2025-01-02 08:15:00,2025-01-02 09:15:00,60,Training,10,120,5
RB12721,E0631,2025-01-02,2025-01-02 08:15:00,2025-01-02 09:30:00,75,Focus,2,30,1
RB18288,E0472,2025-01-02,2025-01-02 08:15:00,2025-01-02 09:15:00,60,Focus,12,60,3
RB19061,E0016,2025-01-02,2025-01-02 08:15:00,2025-01-02 09:30:00,75,Training,8,15,3
RB21983,E0967,2025-01-02,2025-01-02 08:15:00,2025-01-02 08:45:00,30,Focus,8,15,2
RB22832,E1000,2025-01-02,2025-01-02 08:15:00,2025-01-02 09:15:00,60,Training,6,30,1
RB25760,E0393,2025-01-02,2025-01-02 08:15:00,2025-01-02 09:15:00,60,Conference,12,60,4
RB27127,E0791,2025-01-02,2025-01-02 08:15:00,2025-01-02 08:45:00,30,Meeting,10,0,3
RB35726,E0508,2025-01-02,2025-01-02 08:15:00,2025-01-02 10:15:00,120,Meeting,10,30,5
RB36555,E0294,2025-01-02,2025-01-02 08:15:00,2025-01-02 09:15:00,60,Conference,10,0,2
RB36730,E0870,2025-01-02,2025-01-02 08:15:00,2025-01-02 09:00:00,45,Meeting,10,15,4
RB37524,E0263,2025-01-02,2025-01-02 08:15:00,2025-01-02 09:00:00,45,Focus,8,120,5
RB38158,E0221,2025-01-02,2025-01-02 08:15:00,2025-01-02 09:45:00,90,Conference,6,60,5
RB39371,E0960,2025-01-02,2025-01-02 08:15:00,2025-01-02 09:30:00,75,Training,6,30,2
RB05734,E0596,2025-01-02,2025-01-02 08:30:00,2025-01-02 09:30:00,60,Conference,6,0,3
RB07409,E0161,2025-01-02,2025-01-02 08:30:00,2025-01-02 09:00:00,30,Conference,6,120,4
RB09722,E0445,2025-01-02,2025-01-02 08:30:00,2025-01-02 10:00:00,90,Conference,4,60,2
RB15145,E0905,2025-01-02,2025-01-02 08:30:00,2025-01-02 09:30:00,60,Training,4,60,4
RB19645,E0848,2025-01-02,2025-01-02 08:30:00,2025-01-02 09:30:00,60,Conference,2,120,4
RB20236,E0178,2025-01-02,2025-01-02 08:30:00,2025-01-02 09:30:00,60,Meeting,2,15,2
RB20810,E0041,2025-01-02,2025-01-02 08:30:00,2025-01-02 09:00:00,30,Conference,8,0,1
RB24678,E0937,2025-01-02,2025-01-02 08:30:00,2025-01-02 09:00:00,30,Focus,4,15,2
RB29090,E0833,2025-01-02,2025-01-02 08:30:00,2025-01-02 09:30:00,60,Focus,4,0,3
RB38562,E0834,2025-01-02,2025-01-02 08:30:00,2025-01-02 09:30:00,60,Conference,12,30,2
RB39939,E0233,2025-01-02,2025-01-02 08:30:00,2025-01-02 10:00:00,90,Training,4,30,3
RB03802,E0118,2025-01-02,2025-01-02 08:45:00,2025-01-02 09:30:00,45,Meeting,2,60,4
RB06065,E0937,2025-01-02,2025-01-02 08:45:00,2025-01-02 10:00:00,75,Conference,6,15,4
RB06750,E0247,2025-01-02,2025-01-02 08:45:00,2025-01-02 09:15:00,30,Meeting,10,30,1
RB12685,E0211,2025-01-02,2025-01-02 08:45:00,2025-01-02 09:30:00,45,Conference,6,60,5
RB17026,E0792,2025-01-02,2025-01-02 08:45:00,2025-01-02 10:00:00,75,Conference,10,120,3
RB30158,E0194,2025-01-02,2025-01-02 08:45:00,2025-01-02 10:15:00,90,Training,4,15,4
RB30411,E0641,2025-01-02,2025-01-02 08:45:00,2025-01-02 10:15:00,90,Meeting,4,60,1
RB35064,E0195,2025-01-02,2025-01-02 08:45:00,2025-01-02 09:45:00,60,Meeting,2,0,1
RB35898,E0098,2025-01-02,2025-01-02 08:45:00,2025-01-02 09:45:00,60,Focus,12,0,5
RB39923,E0794,2025-01-02,2025-01-02 08:45:00,2025-01-02 09:45:00,60,Meeting,6,0,2
RB03513,E0686,2025-01-02,2025-01-02 09:00:00,2025-01-02 10:30:00,90,Meeting,8,60,5
RB03575,E0179,2025-01-02,2025-01-02 09:00:00,2025-01-02 10:30:00,90,Conference,2,15,2
RB11319,E0905,2025-01-02,2025-01-02 09:00:00,2025-01-02 10:15:00,75,Training,4,15,4
RB11927,E0116,2025-01-02,2025-01-02 09:00:00,2025-01-02 09:45:00,45,Meeting,8,30,5
RB11953,E0123,2025-01-02,2025-01-02 09:00:00,2025-01-02 10:00:00,60,Conference,10,60,3
RB13331,E0015,2025-01-02,2025-01-02 09:00:00,2025-01-02 09:45:00,45,Conference,2,120,2
RB17144,E0320,2025-01-02,2025-01-02 09:00:00,2025-01-02 10:00:00,60,Conference,2,0,2
RB18813,E0184,2025-01-02,2025-01-02 09:00:00,2025-01-02 11:00:00,120,Meeting,12,120,3
RB19155,E0965,2025-01-02,2025-01-02 09:00:00,2025-01-02 10:00:00,60,Meeting,6,30,3
RB19368,E0772,2025-01-02,2025-01-02 09:00:00,2025-01-02 09:30:00,30,Conference,12,60,5
RB25604,E0453,2025-01-02,2025-01-02 09:00:00,2025-01-02 10:15:00,75,Meeting,8,15,3
RB31655,E0864,2025-01-02,2025-01-02 09:00:00,2025-01-02 09:45:00,45,Conference,10,0,1
RB34838,E0850,2025-01-02,2025-01-02 09:00:00,2025-01-02 09:30:00,30,Meeting,2,30,2
RB34936,E0132,2025-01-02,2025-01-02 09:00:00,2025-01-02 10:00:00,60,Conference,2,0,2
RB35538,E0765,2025-01-02,2025-01-02 09:00:00,2025-01-02 10:00:00,60,Meeting,2,15,4
RB01091,E0422,2025-01-02,2025-01-02 09:15:00,2025-01-02 09:45:00,30,Meeting,4,30,5
RB01970,E0296,2025-01-02,2025-01-02 09:15:00,2025-01-02 10:15:00,60,Training,8,60,3
RB02869,E0471,2025-01-02,2025-01-02 09:15:00,2025-01-02 09:45:00,30,Meeting,10,30,3
RB06077,E0791,2025-01-02,2025-01-02 09:15:00,2025-01-02 10:15:00,60,Meeting,2,30,3
RB08447,E0619,2025-01-02,2025-01-02 09:15:00,2025-01-02 10:45:00,90,Meeting,10,60,2
RB13384,E0671,2025-01-02,2025-01-02 09:15:00,2025-01-02 10:30:00,75,Focus,12,15,1
RB17543,E0304,2025-01-02,2025-01-02 09:15:00,2025-01-02 09:45:00,30,Conference,8,60,5
RB19560,E0706,2025-01-02,2025-01-02 09:15:00,2025-01-02 10:30:00,75,Focus,4,30,5
RB19970,E0700,2025-01-02,2025-01-02 09:15:00,2025-01-02 10:30:00,75,Meeting,2,120,2
RB22593,E0560,2025-01-02,2025-01-02 09:15:00,2025-01-02 09:45:00,30,Conference,10,60,2
RB25128,E0013,2025-01-02,2025-01-02 09:15:00,2025-01-02 10:45:00,90,Meeting,8,0,1
RB27209,E0494,2025-01-02,2025-01-02 09:15:00,2025-01-02 11:15:00,120,Meeting,2,0,1
RB27296,E0856,2025-01-02,2025-01-02 09:15:00,2025-01-02 10:00:00,45,Meeting,2,60,1
